Year,Qtr,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
2011,630,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40724,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",99034,1142,100176,437,100613,76702,76702,0,37815,3313,34502,16670,22217,0,,0,3734,,20178,0,546,0,19632,0,0,0,0,0,0,0,43850,,0,0,0,0,1142,
2011,630,34444,0,2354985,,CUSTOMERS BANK,Phoenixville,PA,19460,40724,44150,SM,99 Bridge St,,12,0,1,5,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40639,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,887869,13946,901815,0,901815,774181,774181,59241,144284,87845,56439,16429,546966,7261,,3392,52558,460,64822,0,99,0,64723,6862,354,0,6502,0,6,572,820594,0,3374,2965,50776,8465,9428,
2011,930,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40816,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",108135,1226,109361,457,109818,86332,86332,1736,41632,5633,35999,16150,26814,0,,0,3789,,19697,0,536,0,19161,0,0,0,0,0,0,0,46617,,0,0,400,1336,1226,
2011,930,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,40816,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,17,0,1,9,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,1203990,14025,1218015,0,1218015,660624,660624,58432,188799,113166,75633,23347,382708,7338,,3358,63181,431,67493,0,112,0,67381,423359,353,0,423001,0,5,502,575452,0,4176,3179,49762,8670,13541,
2011,1231,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40908,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",125194,1369,126563,509,127072,98823,98823,1736,48226,5919,42307,18925,29936,0,,0,3771,,24478,0,609,0,23869,0,0,0,0,0,0,0,46408,,0,0,400,1336,1369,
2011,1231,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,40908,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,9,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,1501361,15032,1516393,0,1516393,736074,736074,54732,258399,132659,125740,63892,351720,7331,,3346,77315,402,73190,0,60,0,73130,626468,307,0,626156,0,5,516,100630,0,3616,2870,44923,9809,15085,
2012,331,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,40999,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",129216,1434,130650,490,131140,102814,102814,1736,51151,5491,45660,21652,28275,0,,0,3627,,24698,0,749,0,23949,0,0,0,0,0,0,0,31047,,0,0,400,1336,1434,
2012,331,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,40999,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,9,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,1472332,15400,1487732,0,1487732,771993,771993,50599,271348,140075,131273,84564,358274,7208,,3213,81165,414,63921,0,71,0,63850,567440,306,0,567129,0,5,509,97245,0,1604,938,39829,10770,15453,
2012,630,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41090,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",128043,1442,129485,455,129940,103300,103300,1277,53261,6255,47006,22685,26077,0,,0,3657,,22983,0,849,0,22134,0,0,0,0,0,0,0,29784,,0,0,400,877,1442,
2012,630,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41090,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,9,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,1918287,16118,1934405,0,1934405,983231,983231,54936,309049,129631,179418,114240,498387,6619,,3226,79478,455,63719,0,66,0,63653,804751,263,0,804483,0,5,503,95247,0,1892,1124,34893,20043,16171,
